ExitSpeed,VExitAngle,HExitAngle,Cluster
70.43732,3.820497,-4.13155,0
69.97102,3.447093,-4.166696,0
91.8968,-2.28285,-32.37542,2
95.89935,-7.612476,-12.93284,2
72.85771,-5.759122,-37.84756,1
87.91044,1.150412,-8.377925,0
92.25406,-17.32673,-42.38446,1
71.17132,-19.78044,-12.6552,4
59.21194,7.64177,-9.262693,0
103.2709,-8.532167,-14.6338,2
74.55094,8.163287,-13.44543,0
99.92005,-2.942356,5.196655,3
105.5567,-4.956558,1.073745,3
92.9093,6.438844,-10.37313,2
90.63636,-21.46275,-4.071079,3
90.31324,5.25412,-34.40012,2
104.6134,1.626838,-36.99394,2
92.67953,0.6830574,-36.04483,1
102.513,-1.201376,-38.71288,2
53.7752,-2.602513,24.85636,4
78.271,1.892736,-25.74769,0
100.9415,-9.503017,-32.54021,2
102.8533,-5.402571,-6.084309,2
63.90435,15.45022,-9.147293,0
76.35392,-15.85025,-2.06674,4
86.86998,-12.94398,-30.27728,1
84.65658,-13.30827,-23.95402,1
90.91428,-1.41671,-2.925781,3
103.3135,-25.39851,-18.91142,2
81.08231,-2.223554,-9.716716,0
88.47088,-16.36995,1.664632,3
32.22502,32.32947,-65.13847,0
100.7483,-2.582231,5.547731,3
92.20931,-23.83689,2.886119,3
83.32079,-6.044921,-30.68326,1
95.46365,-12.88764,-12.40975,2
97.34074,-13.04476,-19.03605,2
99.28811,-1.391959,-31.41329,2
103.1542,5.349451,10.47428,3
81.36477,0.1948122,-21.58797,0
80.83955,4.740815,-32.8454,1
88.13935,-17.43042,-24.35608,1
72.36467,5.503999,-6.271003,0
85.37658,-6.099778,-17.34905,2
41.9803,-45.82983,16.68545,4
100.3661,0.8808554,-16.88243,2
88.62492,-20.55976,-38.04693,1
92.71349,6.497762,-13.00733,2
100.4264,2.691943,-29.67899,2
61.6924,-11.54632,-42.41495,1
94.05208,-7.070879,-5.786397,3
94.10259,2.58268,-33.10085,2
98.45264,-6.031981,16.62948,3
76.26336,-1.004794,0.350031,0
92.65962,-13.47979,5.882259,3
79.26953,3.484952,-15.64836,0
101.2365,-0.9910092,-37.56088,2
104.0369,-11.69771,-12.4198,2
81.72319,-31.22493,-41.75546,1
87.37919,-7.376817,10.87722,3
78.79672,-23.3351,-9.199334,4
104.9,0.8894503,-31.87462,2
81.44328,3.704993,-12.57036,0
98.15575,-18.04007,15.22046,3
97.79783,-21.0969,10.39107,3
79.50424,-28.25734,-31.91473,1
89.07748,0.6531975,-36.99424,1
105.0706,-6.113284,-33.69909,2
90.72192,4.970827,-20.24601,2
93.53126,-16.36479,-10.58712,2
78.3349,-10.27588,-36.09804,1
109.1188,-18.88002,-11.00451,2
88.83519,-25.9193,-41.42406,1
81.49425,-24.90933,0.4506829,4
81.40717,3.501067,-30.84574,0
103.5838,-2.071333,-40.36789,2
103.194,-4.680261,5.861885,3
97.6125,-5.422558,-15.20404,2
103.1242,2.004958,-11.5285,2
101.4853,-20.18033,-19.87613,2
80.33626,0.09203925,-17.55085,0
89.12385,-14.53429,-21.79692,2
89.45734,-3.196001,-11.26622,2
107.1527,2.649446,-34.84279,2
85.6871,-2.527108,-16.75039,0
78.06525,-1.277971,-19.95188,0
99.17899,-16.18139,-13.01531,2
104.3396,-7.264531,-7.812476,2
95.32908,-21.15045,-15.23353,2
71.15813,-13.79287,-10.47952,0
105.4932,0.5057563,-36.46019,2
83.62746,-7.275596,5.313562,3
76.71348,7.177139,-30.05274,0
82.13005,-33.70847,-34.81373,1
100.2007,-5.534937,-9.699916,2
103.6051,-26.30955,-45.71767,1
